Sofascore_Name,id,minutes,SoT,Shots,Tackles,fouls_commited,fouls_received,Goals,xG,Assists,xA,round,Match
Mark Travers,856720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Maxwell Kinsey-Wellings,1902493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Tyler Adams,800419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Romain Faivre,913942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Ivo Grbić,283847,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
George Baldock,112928,90.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Auston Trusty,822459,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,28,Bournemouth - Sheffield United
Jack Robinson,98454,90.0,1.0,1.0,3.0,0.0,1.0,1.0,0.2392,0.0,0.0597968,28,Bournemouth - Sheffield United
Jayden Bogle,929132,69.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0805,0.0,0.0,28,Bournemouth - Sheffield United
Tom Davies,795058,45.0,1.0,1.0,2.0,2.0,1.0,0.0,0.2203,0.0,0.0,28,Bournemouth - Sheffield United
Oliver Arblaster,1191153,80.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0408,0.0,0.0,28,Bournemouth - Sheffield United
Gustavo Hamer,837495,90.0,1.0,3.0,0.0,3.0,1.0,1.0,0.3026,0.0,0.253176,28,Bournemouth - Sheffield United
Ben Osborn,282665,90.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0320329,28,Bournemouth - Sheffield United
Oliver McBurnie,367228,69.0,2.0,3.0,1.0,1.0,0.0,0.0,0.3183,0.0,0.0215753,28,Bournemouth - Sheffield United
Ben Brereton Díaz,867583,80.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0453,0.0,0.0157838,28,Bournemouth - Sheffield United
Vinícius Souza,979290,45.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Anel Ahmedhodžić,825899,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
James McAtee,1003334,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
