"","id","Date","Time","Competition","Gameweek","Team","Opponent","Venue","ForAgainst","Result","Yellow_Cards","Red_Cards","Season"
"9721",9722,"2023-09-23","16:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Rosario Central","Away","Against","L",1,0,2023
"9722",9723,"2023-10-01","17:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Estudiantes","Home","Against","D",1,0,2023
"9723",9724,"2023-10-08","14:30","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Instituto","Home","Against","D",0,0,2023
"9724",9725,"2023-10-19","16:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Arg Juniors","Away","Against","L",1,0,2023
"9725",9726,"2023-10-24","16:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Barracas Central","Home","Against","L",0,0,2023
"9726",9727,"2023-10-29","17:30","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","River Plate","Away","Against","W",3,0,2023
"9727",9728,"2023-11-03","19:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Arsenal","Home","Against","D",2,0,2023
"9728",9729,"2023-11-10","21:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Atlé Tucumán","Away","Against","W",2,0,2023
"9729",9730,"2023-11-25","18:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Banfield","Home","Against","W",2,0,2023
"9730",9731,"2023-12-01","17:00","Liga Argentina","Relegation play-off","Gimnasia y Esgrima LP","Colón","Away","Against","L",2,0,2023
"9731",9732,"2023-01-28","21:30","Liga Argentina","Matchweek 1","Central Cordoba SdE","River Plate","Home","For","L",0,0,2023
"9732",9733,"2023-02-05","19:15","Liga Argentina","Matchweek 2","Central Cordoba SdE","Boca Juniors","Away","For","D",2,0,2023
"9733",9734,"2023-02-10","21:30","Liga Argentina","Matchweek 3","Central Cordoba SdE","Belgrano","Home","For","L",2,0,2023
"9734",9735,"2023-02-19","21:30","Liga Argentina","Matchweek 4","Central Cordoba SdE","Talleres","Away","For","L",2,0,2023
"9735",9736,"2023-02-27","21:30","Liga Argentina","Matchweek 5","Central Cordoba SdE","Arg Juniors","Home","For","W",2,0,2023
"9736",9737,"2023-03-04","17:00","Liga Argentina","Matchweek 6","Central Cordoba SdE","Platense","Away","For","D",0,0,2023
"9737",9738,"2023-03-11","21:30","Liga Argentina","Matchweek 7","Central Cordoba SdE","Tigre","Home","For","W",0,0,2023
"9738",9739,"2023-03-21","21:00","Liga Argentina","Matchweek 8","Central Cordoba SdE","Vélez Sarsfield","Away","For","L",2,0,2023
"9739",9740,"2023-04-03","21:30","Liga Argentina","Matchweek 9","Central Cordoba SdE","Arsenal","Home","For","W",1,0,2023
"9740",9741,"2023-04-08","20:30","Liga Argentina","Matchweek 10","Central Cordoba SdE","Defensa y Just","Away","For","W",2,0,2023
"9741",9742,"2023-04-11","21:30","Liga Argentina","Matchweek 11","Central Cordoba SdE","Lanús","Home","For","D",1,0,2023
"9742",9743,"2023-04-17","19:00","Liga Argentina","Matchweek 12","Central Cordoba SdE","Banfield","Away","For","L",5,0,2023
"9743",9744,"2023-04-22","20:30","Liga Argentina","Matchweek 13","Central Cordoba SdE","Godoy Cruz","Home","For","L",1,0,2023
"9744",9745,"2023-04-29","19:00","Liga Argentina","Matchweek 14","Central Cordoba SdE","Instituto","Away","For","W",3,0,2023
"9745",9746,"2023-05-08","21:30","Liga Argentina","Matchweek 15","Central Cordoba SdE","Sarmiento","Home","For","L",2,0,2023
"9746",9747,"2023-05-15","15:30","Liga Argentina","Matchweek 16","Central Cordoba SdE","Barracas Central","Away","For","D",4,0,2023
"9747",9748,"2023-05-19","19:00","Liga Argentina","Matchweek 17","Central Cordoba SdE","Unión","Home","For","L",3,0,2023
"9748",9749,"2023-05-29","16:30","Liga Argentina","Matchweek 18","Central Cordoba SdE","Colón","Away","For","D",3,0,2023
"9749",9750,"2023-06-03","19:00","Liga Argentina","Matchweek 19","Central Cordoba SdE","Huracán","Home","For","W",1,0,2023
"9750",9751,"2023-06-12","17:00","Liga Argentina","Matchweek 20","Central Cordoba SdE","San Lorenzo","Away","For","D",4,1,2023
"9751",9752,"2023-06-21","21:30","Liga Argentina","Matchweek 21","Central Cordoba SdE","Gimnasia–LP","Home","For","D",0,0,2023
"9752",9753,"2023-07-01","19:00","Liga Argentina","Matchweek 22","Central Cordoba SdE","Estudiantes","Away","For","D",2,0,2023
"9753",9754,"2023-07-07","21:30","Liga Argentina","Matchweek 23","Central Cordoba SdE","Newell's OB","Home","For","W",0,0,2023
"9754",9755,"2023-07-11","18:45","Liga Argentina","Matchweek 24","Central Cordoba SdE","Rosario Central","Away","For","L",2,0,2023
"9755",9756,"2023-07-16","21:30","Liga Argentina","Matchweek 25","Central Cordoba SdE","Independiente","Home","For","L",3,0,2023
"9756",9757,"2023-07-24","19:30","Liga Argentina","Matchweek 26","Central Cordoba SdE","Racing Club","Away","For","L",3,0,2023
"9757",9758,"2023-07-29","14:30","Liga Argentina","Matchweek 27","Central Cordoba SdE","Atlé Tucumán","Home","For","L",1,0,2023
"9758",9759,"2023-08-21","20:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Newell's OB","Away","For","L",1,0,2023
"9759",9760,"2023-08-27","14:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Godoy Cruz","Away","For","L",1,0,2023
"9760",9761,"2023-09-01","21:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Platense","Home","For","W",3,0,2023
"9761",9762,"2023-09-13","20:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Sarmiento","Away","For","W",2,0,2023
"9762",9763,"2023-09-19","18:45","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Boca Juniors","Home","For","L",1,0,2023
"9763",9764,"2023-09-23","21:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Defensa y Just","Home","For","W",2,0,2023
"9764",9765,"2023-10-02","21:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Atlé Tucumán","Away","For","D",4,0,2023
"9765",9766,"2023-10-07","21:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Tigre","Home","For","W",1,0,2023
"9766",9767,"2023-10-16","18:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Lanús","Home","For","D",0,0,2023
"9767",9768,"2023-10-25","18:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Belgrano","Away","For","D",5,0,2023
"9768",9769,"2023-10-31","21:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Unión","Home","For","W",0,0,2023
"9769",9770,"2023-11-05","18:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Racing Club","Away","For","D",2,0,2023
"9770",9771,"2023-11-10","19:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Estudiantes","Home","For","L",1,0,2023
"9771",9772,"2023-11-27","19:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","San Lorenzo","Away","For","L",3,0,2023
"9772",9773,"2023-01-28","21:30","Liga Argentina","Matchweek 1","Central Cordoba SdE","River Plate","Away","Against","W",2,0,2023
"9773",9774,"2023-02-05","19:15","Liga Argentina","Matchweek 2","Central Cordoba SdE","Boca Juniors","Home","Against","D",3,0,2023
"9774",9775,"2023-02-10","21:30","Liga Argentina","Matchweek 3","Central Cordoba SdE","Belgrano","Away","Against","W",2,0,2023
"9775",9776,"2023-02-19","21:30","Liga Argentina","Matchweek 4","Central Cordoba SdE","Talleres","Home","Against","W",2,0,2023
"9776",9777,"2023-02-27","21:30","Liga Argentina","Matchweek 5","Central Cordoba SdE","Arg Juniors","Away","Against","L",1,0,2023
"9777",9778,"2023-03-04","17:00","Liga Argentina","Matchweek 6","Central Cordoba SdE","Platense","Home","Against","D",1,0,2023
"9778",9779,"2023-03-11","21:30","Liga Argentina","Matchweek 7","Central Cordoba SdE","Tigre","Away","Against","L",2,0,2023
"9779",9780,"2023-03-21","21:00","Liga Argentina","Matchweek 8","Central Cordoba SdE","Vélez Sarsfield","Home","Against","W",3,0,2023
"9780",9781,"2023-04-03","21:30","Liga Argentina","Matchweek 9","Central Cordoba SdE","Arsenal","Away","Against","L",3,0,2023
"9781",9782,"2023-04-08","20:30","Liga Argentina","Matchweek 10","Central Cordoba SdE","Defensa y Just","Home","Against","L",1,1,2023
"9782",9783,"2023-04-11","21:30","Liga Argentina","Matchweek 11","Central Cordoba SdE","Lanús","Away","Against","D",1,0,2023
"9783",9784,"2023-04-17","19:00","Liga Argentina","Matchweek 12","Central Cordoba SdE","Banfield","Home","Against","W",2,0,2023
